predictor,outcome,PPMC,pval,PPMC_abs
BPI_E-G_3_AnsText,SF-36_23,0.4413550493,8.90428926377671E-015,0.4413550493
PHQ_2E-H_3_AnsVal,SF-36_23,0.4412685378,3.3820597181521E-034,0.4412685378
MW_15-18_1_AnsVal,SF-36_27,0.4405684246,3.18182173492056E-034,0.4405684246
GH_69-71_4,SF-36_6,0.4405267996,1.68492178715498E-034,0.4405267996
PHQ_2E-H_3_AnsVal,SF-36_30,0.4396282374,5.63980263425343E-034,0.4396282374
FSI_1-4_3_AnsText,SF-36_23,0.4390470781,5.08084822043031E-034,0.4390470781
CTXD_39-43_5_AnsVal,SF-36_26,0.4383839605,3.81448418661562E-034,0.4383839605
FSI_9-11_3_AnsText,SF-36_26,0.4375953258,8.78475987221273E-034,0.4375953258
MW_15-18_3_AnsVal,SF-36_30,0.4370488229,1.0788176737759E-033,0.4370488229
SF-36_32,SF-36_24,0.4364116052,7.23834997506521E-034,0.4364116052
CTXD_39-43_4_AnsVal,SF-36_36,0.435049438,2.2801892978451E-033,0.435049438
MW_1,SF-36_23,0.4347468649,2.55251895279518E-033,0.4347468649
FSI_13,SF-36_23,0.4345587815,3.38000596641625E-033,0.4345587815
MJM_2,SF-36_27,0.4345552212,2.74143392396826E-033,0.4345552212
PHQ_2A-D_3_AnsVal,SF-36_27,0.4345382551,2.23469242442716E-033,0.4345382551
CTXD_44-46_1_AnsVal,SF-36_26,0.4345333783,1.8134625424499E-033,0.4345333783
GAD7_5D,SF-36_23,0.4329680843,8.33621514952935E-033,0.4329680843
SF-36_1,SF-36_30,0.4324748915,3.17448620548264E-033,0.4324748915
CTXD_24-28_3_AnsVal,SF-36_23,0.4323282143,7.71520209383498E-033,0.4323282143
FSI_5-8_1_AnsText,SF-36_36,0.4321713795,5.98185471664436E-033,0.4321713795
CTXD_24-28_1_AnsVal,SF-36_30,0.4321141104,4.47166141160625E-033,0.4321141104
ISQ_2-7_5_AnsVal,SF-36_27,0.4320250905,1.78673375004689E-032,0.4320250905
CTXD_24-28_2_AnsVal,SF-36_23,0.4315394533,1.03146708452699E-032,0.4315394533
MW_11-14_2_AnsVal,SF-36_26,0.4311296432,8.78926146426769E-033,0.4311296432
FSI_12,SF-36_23,0.4302953294,8.77123787861826E-033,0.4302953294
GH1_5-18_5,SF-36_6,0.4296772097,8.09486741551041E-033,0.4296772097
